vehicle_id,base_cost,penalty_cost,penalty_share
v9,106.46387146431572,50.0,0.3195625899580489
v9,106.46387146431572,50.0,0.3195625899580489
v9,106.46387146431572,200.0,0.6526054736709406
v9,106.46387146431572,200.0,0.6526054736709406
v9,36.386303980628185,0.0,0.0
v9,106.46387146431572,200.0,0.6526054736709406
v9,36.386303980628185,0.0,0.0
v9,106.46387146431572,200.0,0.6526054736709406
v9,36.386303980628185,0.0,0.0
v9,106.46387146431572,200.0,0.6526054736709406
v9,36.386303980628185,0.0,0.0
v9,106.46387146431572,200.0,0.6526054736709406
v9,36.386303980628185,0.0,0.0
v9,106.46387146431572,200.0,0.6526054736709406
v9,36.386303980628185,0.0,0.0
v9,106.46387146431572,200.0,0.6526054736709406
v9,36.386303980628185,0.0,0.0
v9,106.46387146431572,200.0,0.6526054736709406
v9,36.386303980628185,0.0,0.0
v9,106.46387146431572,200.0,0.6526054736709406
v9,36.386303980628185,0.0,0.0
v9,31.389191195954798,0.0,0.0
v9,31.389191195954798,0.0,0.0
v9,106.46387146431572,200.0,0.6526054736709406
v9,36.386303980628185,0.0,0.0
v9,106.46387146431572,200.0,0.6526054736709406
v9,36.386303980628185,0.0,0.0
