vehicle_id,base_cost,penalty_cost,penalty_share
v9,106.46387146431572,0.0,0.0
v9,106.46387146431572,0.0,0.0
v9,106.46387146431572,0.0,0.0
v9,106.46387146431572,0.0,0.0
v9,36.386303980628185,0.0,0.0
v9,106.46387146431572,0.0,0.0
v9,36.386303980628185,0.0,0.0
v9,106.46387146431572,0.0,0.0
v9,36.386303980628185,0.0,0.0
v9,106.46387146431572,0.0,0.0
v9,36.386303980628185,0.0,0.0
v9,106.46387146431572,0.0,0.0
v9,36.386303980628185,0.0,0.0
v9,106.46387146431572,0.0,0.0
v9,36.386303980628185,0.0,0.0
v9,106.46387146431572,0.0,0.0
v9,36.386303980628185,0.0,0.0
v9,106.46387146431572,0.0,0.0
v9,36.386303980628185,0.0,0.0
v9,106.46387146431572,0.0,0.0
v9,36.386303980628185,0.0,0.0
v9,31.389191195954798,0.0,0.0
v9,31.389191195954798,0.0,0.0
v9,106.46387146431572,0.0,0.0
v9,36.386303980628185,0.0,0.0
v9,106.46387146431572,0.0,0.0
v9,36.386303980628185,0.0,0.0
